generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
10,31,92,3,95,4
10,32,92,3,95,4
10,33,94,5,95,4
10,34,92,3,95,4
10,35,88,5,95,4
10,36,94,5,95,4
10,37,86,7,95,4
10,38,95,5,95,4
10,39,90,4,95,4
10,40,95,7,95,4
10,41,94,4,95,4
10,42,91,4,95,4
10,43,94,6,95,4
10,44,92,5,95,4
10,45,87,4,95,4
10,46,93,5,95,4
10,47,89,5,95,4
10,48,61,4,95,4
10,49,89,4,95,4
11,0,94,4,95,5
11,1,87,4,95,5
11,2,92,5,95,5
11,3,90,4,95,5
11,4,93,7,95,5
11,5,91,4,95,5
11,6,95,4,95,5
11,7,94,5,95,5
11,8,94,4,95,5
11,9,87,6,95,5
11,10,94,6,95,5
11,11,93,4,95,5
11,12,85,4,95,5
11,13,87,4,95,5
11,14,91,4,95,5
11,15,92,4,95,5
11,16,95,4,95,5
11,17,91,5,95,5
11,18,19,5,95,5
11,19,94,3,95,5
11,20,93,3,95,5
11,21,92,3,95,5
11,22,88,3,95,5
11,23,92,3,95,5
11,24,91,6,95,5
11,25,92,3,95,5
11,26,88,6,95,5
11,27,91,3,95,5
11,28,91,6,95,5
11,29,92,3,95,5
11,30,91,3,95,5
11,31,94,3,95,5
11,32,95,4,95,5
11,33,92,5,95,5
11,34,92,5,95,5
11,35,92,5,95,5
11,36,93,5,95,5
11,37,93,5,95,5
11,38,90,5,95,5
11,39,94,5,95,5
11,40,91,4,95,5
11,41,11,4,95,5
11,42,88,5,95,5
11,43,90,3,95,5
11,44,93,5,95,5
11,45,89,4,95,5
11,46,94,3,95,5
11,47,93,5,95,5
11,48,90,6,95,5
11,49,94,5,95,5
12,0,94,5,95,5
12,1,93,4,95,5
12,2,94,4,95,5
12,3,90,7,95,5
12,4,93,5,95,5
12,5,94,5,95,5
12,6,91,4,95,5
12,7,94,4,95,5
12,8,75,5,95,5
12,9,92,4,95,5
12,10,11,4,95,5
12,11,95,5,95,5
12,12,93,5,95,5
12,13,92,4,95,5
12,14,46,7,95,5
12,15,94,3,95,5
12,16,92,3,95,5
12,17,95,4,95,5
12,18,92,4,95,5
12,19,86,4,95,5
12,20,86,5,95,5
12,21,89,7,95,5
12,22,93,5,95,5
12,23,93,4,95,5
12,24,89,3,95,5
12,25,94,7,95,5
12,26,93,4,95,5
12,27,95,3,95,5
12,28,92,4,95,5
12,29,90,3,95,5
12,30,92,5,95,5
12,31,94,5,95,5
12,32,94,3,95,5
12,33,94,4,95,5
12,34,95,3,95,5
12,35,91,6,95,5
12,36,93,3,95,5
12,37,92,5,95,5
12,38,93,3,95,5
12,39,93,3,95,5
12,40,11,5,95,5
12,41,92,3,95,5
12,42,95,5,95,5
12,43,91,5,95,5
12,44,84,5,95,5
12,45,11,5,95,5
12,46,95,5,95,5
12,47,9,5,95,5
12,48,92,5,95,5
12,49,73,5,95,5
13,0,95,5,96,5
13,1,84,4,96,5
13,2,94,5,96,5
13,3,94,4,96,5
13,4,11,5,96,5
13,5,83,5,96,5
13,6,95,5,96,5
13,7,93,7,96,5
13,8,95,5,96,5
13,9,94,5,96,5
13,10,92,5,96,5
13,11,95,4,96,5
13,12,93,4,96,5
13,13,95,4,96,5
13,14,91,4,96,5
13,15,92,5,96,5
13,16,94,7,96,5
13,17,92,4,96,5
13,18,93,5,96,5
13,19,54,5,96,5
13,20,88,4,96,5
13,21,95,5,96,5
13,22,95,5,96,5
13,23,90,5,96,5
13,24,95,4,96,5
13,25,91,6,96,5
13,26,93,6,96,5
13,27,11,4,96,5
13,28,88,4,96,5
13,29,92,3,96,5
13,30,90,3,96,5
13,31,95,4,96,5
13,32,93,3,96,5
13,33,90,8,96,5
13,34,93,3,96,5
13,35,94,3,96,5
13,36,94,4,96,5
13,37,94,6,96,5
13,38,94,3,96,5
13,39,94,3,96,5
13,40,91,3,96,5
13,41,79,4,96,5
13,42,94,3,96,5
13,43,95,4,96,5
13,44,92,4,96,5
13,45,95,4,96,5
13,46,95,6,96,5
13,47,89,6,96,5
13,48,94,4,96,5
13,49,78,6,96,5
14,0,95,5,95,5
14,1,95,5,95,5
14,2,94,5,95,5
14,3,93,6,95,5
14,4,86,4,95,5
14,5,93,5,95,5
14,6,96,4,95,5
14,7,93,4,95,5
14,8,93,5,95,5
14,9,94,5,95,5
14,10,93,5,95,5
14,11,80,5,95,5
14,12,95,5,95,5
14,13,96,5,95,5
14,14,94,5,95,5
14,15,93,4,95,5
14,16,94,5,95,5
14,17,93,6,95,5
14,18,92,5,95,5
14,19,95,5,95,5
14,20,90,5,95,5
14,21,73,4,95,5
14,22,89,5,95,5
14,23,89,4,95,5
14,24,95,5,95,5
14,25,92,7,95,5
14,26,78,5,95,5
14,27,77,5,95,5
14,28,93,5,95,5
14,29,95,5,95,5
14,30,91,6,95,5
14,31,94,5,95,5
14,32,94,5,95,5
14,33,95,4,95,5
14,34,94,4,95,5
14,35,89,3,95,5
14,36,95,4,95,5
14,37,94,3,95,5
14,38,93,3,95,5
14,39,95,3,95,5
14,40,93,4,95,5
14,41,93,3,95,5
14,42,94,4,95,5
14,43,95,5,95,5
14,44,94,5,95,5
14,45,95,8,95,5
14,46,95,4,95,5
14,47,92,5,95,5
14,48,79,5,95,5
14,49,90,8,95,5
15,0,94,5,96,4
15,1,94,5,96,4
15,2,95,5,96,4
15,3,92,4,96,4
15,4,94,4,96,4
15,5,87,5,96,4
15,6,80,5,96,4
15,7,93,5,96,4
15,8,95,5,96,4
15,9,95,6,96,4
15,10,93,6,96,4
15,11,95,4,96,4
15,12,93,5,96,4
15,13,95,5,96,4
15,14,95,5,96,4
15,15,94,7,96,4
15,16,92,5,96,4
15,17,95,6,96,4
15,18,91,4,96,4
15,19,95,5,96,4
15,20,94,5,96,4
15,21,95,5,96,4
15,22,89,5,96,4
15,23,95,5,96,4
15,24,87,6,96,4
15,25,94,5,96,4
15,26,94,5,96,4
15,27,87,5,96,4
15,28,95,4,96,4
15,29,95,5,96,4
15,30,94,4,96,4
15,31,87,4,96,4
15,32,95,4,96,4
15,33,94,5,96,4
15,34,89,4,96,4
15,35,89,4,96,4
15,36,94,6,96,4
15,37,93,4,96,4
15,38,94,5,96,4
15,39,82,5,96,4
15,40,94,5,96,4
15,41,94,5,96,4
15,42,95,5,96,4
15,43,95,4,96,4
15,44,94,5,96,4
15,45,89,4,96,4
15,46,92,4,96,4
15,47,94,5,96,4
15,48,90,6,96,4
15,49,94,6,96,4
16,0,93,4,96,5
16,1,11,4,96,5
16,2,94,4,96,5
16,3,95,5,96,5
16,4,95,5,96,5
16,5,83,5,96,5
16,6,96,6,96,5
16,7,92,5,96,5
16,8,92,5,96,5
16,9,94,5,96,5
16,10,86,4,96,5
16,11,95,4,96,5
16,12,95,4,96,5
16,13,95,5,96,5
16,14,89,6,96,5
16,15,11,6,96,5
16,16,93,5,96,5
16,17,95,4,96,5
16,18,95,6,96,5
16,19,93,4,96,5
16,20,90,5,96,5
16,21,95,6,96,5
16,22,95,5,96,5
16,23,90,6,96,5
16,24,95,4,96,5
16,25,95,7,96,5
16,26,93,5,96,5
16,27,96,5,96,5
16,28,95,4,96,5
16,29,94,5,96,5
16,30,91,4,96,5
16,31,95,5,96,5
16,32,90,6,96,5
16,33,20,3,96,5
16,34,96,5,96,5
16,35,83,3,96,5
16,36,94,4,96,5
16,37,46,3,96,5
16,38,89,5,96,5
16,39,90,3,96,5
16,40,95,5,96,5
16,41,91,4,96,5
16,42,94,4,96,5
16,43,87,5,96,5
16,44,11,4,96,5
16,45,20,5,96,5
16,46,54,5,96,5
16,47,94,5,96,5
16,48,94,5,96,5
16,49,92,5,96,5
17,0,92,5,96,6
17,1,91,5,96,6
17,2,93,5,96,6
17,3,89,4,96,6
17,4,95,4,96,6
17,5,94,4,96,6
17,6,88,5,96,6
17,7,84,5,96,6
17,8,95,7,96,6
17,9,94,6,96,6
17,10,94,5,96,6
17,11,96,6,96,6
17,12,92,7,96,6
17,13,92,5,96,6
17,14,85,4,96,6
17,15,94,4,96,6
17,16,95,4,96,6
17,17,95,5,96,6
17,18,85,4,96,6
17,19,82,7,96,6
17,20,94,5,96,6
17,21,11,5,96,6
17,22,94,5,96,6
17,23,95,4,96,6
17,24,93,5,96,6
17,25,95,3,96,6
17,26,93,4,96,6
17,27,84,4,96,6
17,28,71,4,96,6
17,29,94,3,96,6
17,30,92,3,96,6
17,31,95,5,96,6
17,32,86,3,96,6
